"Dataset","File","Target","Positive_Class","Fold","Model","Accuracy","Precision","Recall","F1","Specificity","Balanced_Accuracy","TP","FP","FN","TN"
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",1,"Logistic",0.972972972972973,1,0.833333333333333,0.909090909090909,1,0.916666666666667,30,0,6,186
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",1,"RandomForest",0.972972972972973,1,0.833333333333333,0.909090909090909,1,0.916666666666667,30,0,6,186
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",2,"Logistic",0.981900452488688,1,0.888888888888889,0.941176470588235,1,0.944444444444444,32,0,4,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",2,"RandomForest",0.986425339366516,1,0.916666666666667,0.956521739130435,1,0.958333333333333,33,0,3,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",3,"Logistic",0.972850678733032,0.916666666666667,0.916666666666667,0.916666666666667,0.983783783783784,0.950225225225225,33,3,3,182
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",3,"RandomForest",0.986425339366516,1,0.916666666666667,0.956521739130435,1,0.958333333333333,33,0,3,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",4,"Logistic",0.97737556561086,0.942857142857143,0.916666666666667,0.929577464788732,0.989189189189189,0.952927927927928,33,2,3,183
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",4,"RandomForest",0.981900452488688,0.944444444444444,0.944444444444444,0.944444444444444,0.989189189189189,0.966816816816817,34,2,2,183
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",5,"Logistic",0.97737556561086,1,0.861111111111111,0.925373134328358,1,0.930555555555556,31,0,5,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",5,"RandomForest",0.981900452488688,1,0.888888888888889,0.941176470588235,1,0.944444444444444,32,0,4,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",6,"Logistic",0.986425339366516,1,0.916666666666667,0.956521739130435,1,0.958333333333333,33,0,3,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",6,"RandomForest",0.990950226244344,1,0.944444444444444,0.971428571428571,1,0.972222222222222,34,0,2,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",7,"Logistic",0.95475113122172,0.933333333333333,0.777777777777778,0.848484848484849,0.989189189189189,0.883483483483483,28,2,8,183
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",7,"RandomForest",0.950226244343891,0.931034482758621,0.75,0.830769230769231,0.989189189189189,0.869594594594595,27,2,9,183
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",8,"Logistic",0.981900452488688,1,0.888888888888889,0.941176470588235,1,0.944444444444444,32,0,4,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",8,"RandomForest",0.97737556561086,0.96969696969697,0.888888888888889,0.927536231884058,0.994594594594595,0.941741741741742,32,1,4,184
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",9,"Logistic",0.986363636363636,0.970588235294118,0.942857142857143,0.956521739130435,0.994594594594595,0.968725868725869,33,1,2,184
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",9,"RandomForest",0.990909090909091,1,0.942857142857143,0.970588235294118,1,0.971428571428571,33,0,2,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",10,"Logistic",0.968181818181818,1,0.8,0.888888888888889,1,0.9,28,0,7,185
"impute","outputs/cleaned_data_impute.csv","IsAds","ads",10,"RandomForest",0.968181818181818,0.966666666666667,0.828571428571429,0.892307692307692,0.994594594594595,0.911583011583012,29,1,6,184
"drop","outputs/cleaned_data_drop.csv","IsAds","ads",1,"Logistic",0.980487804878049,1,0.826086956521739,0.904761904761905,1,0.91304347826087,19,0,4,182
"drop","outputs/cleaned_data_drop.csv","IsAds","ads",1,"RandomForest",0.995121951219512,1,0.956521739130435,0.977777777777778,1,0.978260869565217,22,0,1,182
"drop","outputs/cleaned_data_drop.csv","IsAds","ads",2,"Logistic",0.995121951219512,1,0.956521739130435,0.977777777777778,1,0.978260869565217,22,0,1,182
"drop","outputs/cleaned_data_drop.csv","IsAds","ads",2,"RandomForest",0.995121951219512,1,0.956521739130435,0.977777777777778,1,0.978260869565217,22,0,1,182
"drop","outputs/cleaned_data_drop.csv","IsAds","ads",3,"Logistic",0.985294117647059,0.954545454545455,0.91304347826087,0.933333333333333,0.994475138121547,0.953759308191208,21,1,2,180
"drop","outputs/cleaned_data_drop.csv","IsAds","ads",3,"RandomForest",0.990196078431373,0.956521739130435,0.956521739130435,0.956521739130435,0.994475138121547,0.975498438625991,22,1,1,180
